,count,mean,std,min,max,median,q25,q75,iqr,cv,skewness,kurtosis,mean_meV,std_meV,min_meV,max_meV,median_meV,q25_meV,q75_meV,iqr_meV
unrelaxed,56.0,0.021056055760963525,0.0015638287998314192,0.019261028899679206,0.02632888836987439,0.020521495137576083,0.020177273253145202,0.021242344909256066,0.0010650716561108643,0.07426978811153463,1.700836630993865,2.2180309146974784,21.056055760963524,1.563828799831419,19.261028899679207,26.328888369874388,20.521495137576082,20.177273253145202,21.242344909256065,1.0650716561108644
relaxed,45.0,0.016517080266704787,0.0014862639856324034,0.014739114667537651,0.02353680138851785,0.016119869860923303,0.015701642645940116,0.01689997981225863,0.0011983371663185152,0.0899834572232734,2.848531882996368,10.089525943822578,16.517080266704788,1.4862639856324034,14.73911466753765,23.536801388517848,16.119869860923302,15.701642645940115,16.899979812258632,1.1983371663185152
