struct_type,sweep_id,observation_id,validation_loss,MaxEpochs,alignn_layers,batch_size,embedding_features,gcn_layers,hidden_features,log_lr,reduceLR_patience
unrelaxed,wandb-zg72k1bv,observ_4n4eu195,0.01984601217295067,100,6,6,32,3,128,-3,18
relaxed,wandb-kjahfk,observ_istbmhn2,0.020548377735408997,100,5,7,128,6,512,-2,10
relaxed,wandb-kjahfk,observ_78k9w6jg,0.016977281496366348,100,6,8,128,6,512,-3,18
relaxed,wandb-kjahfk,observ_iioavzo8,0.01655627398466518,100,6,11,128,6,128,-4,15
relaxed,wandb-kjahfk,observ_tqzys389,0.01841078387130673,100,3,6,32,3,256,-5,28
relaxed,wandb-kjahfk,observ_2rd5jgdc,0.015439966570450315,100,6,7,128,5,512,-4,10
relaxed,wandb-kjahfk,observ_axl5yfdq,0.017650727126105582,100,6,4,32,4,256,-5,21
relaxed,wandb-kjahfk,observ_hkjqg9ze,0.015248170590216692,100,6,6,128,6,512,-4,12
relaxed,wandb-kjahfk,observ_q0iuwi7b,0.01747318441044618,100,6,6,128,6,512,-3,27
relaxed,wandb-kjahfk,observ_g1p7cr8d,0.01553484416415823,100,6,7,128,5,512,-4,13
relaxed,wandb-kjahfk,observ_6ftc18cr,0.015701642645940116,100,4,9,128,6,512,-3,11
relaxed,wandb-kjahfk,observ_sltlu0re,0.015739520268730628,100,6,6,64,5,512,-4,24
relaxed,wandb-kjahfk,observ_bbqc0y5b,0.015961438905339784,100,6,4,128,5,512,-5,11
relaxed,wandb-kjahfk,observ_xl6ubnkf,0.016119869860923303,100,3,9,128,6,512,-3,16
relaxed,wandb-kjahfk,observ_4ba51t7e,0.016442868500487033,100,6,5,64,6,512,-4,26
relaxed,wandb-kjahfk,observ_vkyghc1j,0.015364906898121361,100,6,6,128,6,512,-4,16
relaxed,wandb-kjahfk,observ_jeq649re,0.016000801492074012,100,6,9,128,6,512,-3,10
relaxed,wandb-kjahfk,observ_6j675v18,0.018381173683428145,100,2,10,128,6,256,-2,11
relaxed,wandb-kjahfk,observ_1kcttm4c,0.01689997981225863,100,6,5,64,4,512,-3,10
relaxed,wandb-kjahfk,observ_4kiiis8x,0.015597866623986588,100,6,7,128,5,512,-4,15
relaxed,wandb-kjahfk,observ_6m1osvg1,0.016124358508274976,100,6,9,128,6,512,-4,23
relaxed,wandb-kjahfk,observ_hyp4vihx,0.017317890416037294,100,6,6,64,6,512,-3,21
relaxed,wandb-kjahfk,observ_b4faxfkz,0.01630493071799574,100,6,12,128,6,128,-3,22
relaxed,wandb-kjahfk,observ_b29kxor0,0.015762067271196688,100,3,9,64,6,512,-3,11
relaxed,wandb-kjahfk,observ_rfjtzg0q,0.014739114667537651,100,6,7,64,6,512,-4,11
relaxed,wandb-kjahfk,observ_0o4k2z36,0.01574902833215513,100,6,6,64,5,256,-4,21
relaxed,wandb-kjahfk,observ_gscswuuh,0.017129117623336187,100,4,6,64,5,256,-5,21
relaxed,wandb-kjahfk,observ_glwmjn4q,0.017408743609375988,100,5,5,32,3,128,-3,15
relaxed,wandb-kjahfk,observ_khprh2u1,0.01612275893495111,100,6,4,64,6,256,-4,11
relaxed,wandb-kjahfk,observ_avqnohcy,0.0163446366316555,100,6,7,128,6,256,-3,13
relaxed,wandb-kjahfk,observ_b36azhrj,0.015941866684833376,100,6,6,128,5,512,-4,17
relaxed,wandb-kjahfk,observ_sxxtixg1,0.016563653591480588,100,6,6,128,6,512,-5,21
relaxed,wandb-kjahfk,observ_3auhhjq7,0.015232162303404304,100,6,9,128,5,256,-4,18
relaxed,wandb-kjahfk,observ_ckqq47zw,0.015219691885925521,100,6,8,64,6,512,-4,10
relaxed,wandb-kjahfk,observ_4qh2l99h,0.016733539235526906,100,6,5,64,6,512,-5,14
relaxed,wandb-kjahfk,observ_2zidj2f7,0.016919708116448242,100,6,7,128,6,512,-3,14
relaxed,wandb-kjahfk,observ_8sobp6es,0.015696919709152324,100,6,7,64,6,512,-4,24
relaxed,wandb-kjahfk,observ_ivqvt441,0.01564698297542811,100,6,7,128,6,512,-4,12
relaxed,wandb-kjahfk,observ_qz3u3ceo,0.02353680138851785,100,4,5,128,3,256,-2,29
relaxed,wandb-kjahfk,observ_skujl9v0,0.015926029726185748,100,4,9,128,6,512,-3,12
relaxed,wandb-kjahfk,observ_gt8ck8w3,0.015825425038739935,100,6,6,64,5,512,-4,21
relaxed,wandb-kjahfk,observ_p3a18kxa,0.016009284343830102,100,5,9,128,5,128,-3,13
relaxed,wandb-kjahfk,observ_ocevmpsz,0.016834824086373313,100,6,6,64,6,512,-5,27
relaxed,wandb-kjahfk,observ_jviyu0dn,0.016558435330562695,100,5,7,64,6,256,-5,23
relaxed,wandb-kjahfk,observ_t41menhl,0.015943986708123293,100,6,8,128,6,512,-4,16
relaxed,wandb-kjahfk,observ_dv71u858,0.0156269755242531,100,6,5,128,6,256,-4,15
